Date,GUEO1,GUEO2,GUEO3,GUEO4,GUEO5,GUEO6
2020-01-01,94556,0,2945,0,94556,300
2020-01-02,94556,0,2945,0,94556,900
2020-01-03,98878,0,2945,0,98878,1100
2020-01-04,103201,0,2945,0,103201,1300
2020-01-05,103201,0,2945,0,103201,1000
2020-01-06,101571,0,2945,0,101571,1700
2020-01-07,91190,0,2945,0,91190,1700
2020-01-08,72701,0,2945,0,72701,1700
2020-01-09,71996,0,1531,0,71996,1700
2020-01-10,69540,0,1531,0,69540,1500
2020-01-11,85146,0,1531,0,85146,1700
2020-01-12,85209,0,1531,0,85209,1700
2020-01-13,78694,0,1531,0,78694,1700
2020-01-14,93324,0,1531,0,93324,1700
2020-01-15,83629,0,2945,0,72701,1700
2020-01-16,83276,0,2238,0,83276,1300
2020-01-17,88820,0,2238,0,84209,1300
2020-01-18,94173,0,2238,0,94173,1500
2020-01-19,94205,0,2238,0,94205,1350
2020-01-20,77492,0,0,0,77492,1300
2020-01-21,67853,0,0,0,67853,1300
2020-01-22,72878,0,0,0,72878,1000
2020-01-23,74062,0,0,0,74062,1100
2020-01-24,82154,0,0,0,82154,1300
2020-01-25,94173,0,2238,0,94173,1500
2020-01-26,94205,0,2238,0,94205,1350
2020-01-27,94293,0,0,0,94293,1700
2020-01-28,94823,0,1906,0,94823,1890
2020-01-29,98489,0,1906,0,98489,1890
2020-01-30,77150,0,1906,0,77150,1890
2020-01-31,85131,0,1906,0,85131,1890
2020-02-01,95654,0,1531,0,95654,1890
2020-02-02,95654,0,1531,0,95654,1890
2020-02-03,86355,0,1531,0,86355,1890
2020-02-04,94787,0,1530,0,94787,1600
